Pedersen, KAA Gent, STR, 5.0, 0.0
Piatti, Valencia CF, STR, 5.0, 3.0
Campbell, Arsenal FC, STR, 5.0, 1.0
Sebá, Olympiacos FC, STR, 5.0, 3.0
Basat, Maccabi Tel-Aviv FC, STR, 5.0, 0
Radonjić, Maccabi Tel-Aviv FC, STR, 5.0, 0
Sana, Malmö FF, STR, 5.0, 0
Augustin, Paris Saint-Germain, STR, 5.0, 0
Hernâni, Olympiacos FC, STR, 5.0, 3.0
Muñoz, Sevilla FC, STR, 4.5, 0
Schetkin, FC Astana, STR, 4.5, 2.0
Twumasi, FC Astana, STR, 4.5, 10.0
Mozolevski, FC BATE Borisov, STR, 4.5, 2.0
Soleri, AS Roma, STR, 4.5, 0
Kabananga, FC Astana, STR, 4.5, 3.0
Mehmeti, Malmö FF, STR, 4.5, 0
Dzholchiyev, FC Astana, STR, 4.5, 0.0
Çekiçi, GNK Dinamo Zagreb, STR, 3.5, 0
