Boenisch, Bayer 04 Leverkusen, DEF, 4.5, 0
Hernández, Club Atlético de Madrid, DEF, 4.5, 0
Naldo, VfL Wolfsburg, DEF, 4.5, 12.0
Bellerín, Arsenal FC, DEF, 4.5, 3.0
Jedvaj, Bayer 04 Leverkusen, DEF, 4.5, 0
Eliseu, SL Benfica, DEF, 4.5, 2.0
Sarıoğlu, Galatasaray AŞ, DEF, 4.5, 0
Moreno, PSV Eindhoven, DEF, 4.5, 8.0
Kimpembe, Paris Saint-Germain, DEF, 4.5, 0
Carole, Galatasaray AŞ, DEF, 4.5, 0
Yanga-Mbiwa, Olympique Lyonnais, DEF, 4.5, 0
Balta, Galatasaray AŞ, DEF, 4.5, 0
Pinto, GNK Dinamo Zagreb, DEF, 4.5, 2.0
Vezo, Valencia CF, DEF, 4.5, 0.0
Ferreira, Sevilla FC, DEF, 4.5, 1.0
Jardel, SL Benfica, DEF, 4.5, 1.0
Fernandes, PFC CSKA Moskva, DEF, 4.5, 2.0
Tinnerholm, Malmö FF, DEF, 4.5, 0
Kryvtsov, FC Shakhtar Donetsk, DEF, 4.5, 0
Donati, Bayer 04 Leverkusen, DEF, 4.5, 2.0
Biševac, Olympique Lyonnais, DEF, 4.5, 3.0
Jung, VfL Wolfsburg, DEF, 4.5, 3.0
Dragovic, FC Dynamo Kyiv, DEF, 4.5, 8.0
Zouma, Chelsea FC, DEF, 4.5, 8.0
Schennikov, PFC CSKA Moskva, DEF, 4.5, 1.0
Jallet, Olympique Lyonnais, DEF, 4.5, 9.0
Rakitskiy, FC Shakhtar Donetsk, DEF, 4.5, 1.0
Mustafi, Valencia CF, DEF, 4.5, 0.0
Klose, VfL Wolfsburg, DEF, 4.5, 3.0
Silva, FC Dynamo Kyiv, DEF, 4.5, 1.0
Chambers, Arsenal FC, DEF, 4.5, 0
Marcano, FC Porto, DEF, 4.5, 2.0
Kolodziejczak, Sevilla FC, DEF, 4.5, 3.0
Ignashevich, PFC CSKA Moskva, DEF, 4.5, 9.0
Santos, Valencia CF, DEF, 4.5, 3.0
Andreolli, Sevilla FC, DEF, 4.5, 3.0
Bedimo, Olympique Lyonnais, DEF, 4.5, 2.0
Johansson, KAA Gent, DEF, 4.5, 0
Digne, AS Roma, DEF, 4.5, 2.0
Arias, PSV Eindhoven, DEF, 4.5, -5.0
Criscito, FC Zenit, DEF, 4.5, 0
Gámez, Club Atlético de Madrid, DEF, 4.5, 0
Smolnikov, FC Zenit, DEF, 4.5, 0
Aničić, FC Astana, DEF, 4.5, 8.0
Orbán, Valencia CF, DEF, 4.5, 3.0
Poulsen, PSV Eindhoven, DEF, 4.5, 0
Bruma, PSV Eindhoven, DEF, 4.5, 1.0
Rüdiger, AS Roma, DEF, 4.5, 3.0
Kirchhoff, FC Bayern München, DEF, 4.5, 0
Koné, Olympique Lyonnais, DEF, 4.5, 0
Mladenović, FC BATE Borisov, DEF, 4.5, 13.0
Taravel, GNK Dinamo Zagreb, DEF, 4.5, 2.0
Layún, FC Porto, DEF, 4.5, 9.0
Sílvio, SL Benfica, DEF, 4.5, 2.0
Azevedo, FC Shakhtar Donetsk, DEF, 4.5, 3.0
Wendell, Bayer 04 Leverkusen, DEF, 4.5, 1.0
Shomko, FC Astana, DEF, 4.5, 3.0
Lindelöf, SL Benfica, DEF, 4.5, 0
Knoche, VfL Wolfsburg, DEF, 4.0, 0
Árnason, Malmö FF, DEF, 4.0, 0
Manolas, AS Roma, DEF, 4.0, 2.0
Chedjou, Galatasaray AŞ, DEF, 4.0, 0
Brouwers, VfL Borussia Mönchengladbach, DEF, 4.0, 0
Rafinha, KAA Gent, DEF, 4.0, 3.0
Brenet, PSV Eindhoven, DEF, 4.0, 3.0
Postnikov, FC Astana, DEF, 4.0, 2.0
Zhavnerchik, FC BATE Borisov, DEF, 4.0, 3.0
Günter, Galatasaray AŞ, DEF, 4.0, 0
Berezutski, PFC CSKA Moskva, DEF, 4.0, 0
Antunes, FC Dynamo Kyiv, DEF, 4.0, 0.0
Dubra, FC BATE Borisov, DEF, 4.0, 2.0
Latorre, Valencia CF, DEF, 4.0, 0
Ilič, FC Astana, DEF, 4.0, 0
Botía, Olympiacos FC, DEF, 4.0, 3.0
Elvedi, VfL Borussia Mönchengladbach, DEF, 4.0, 0
Schäfer, VfL Wolfsburg, DEF, 4.0, 3.0
Milunović, FC BATE Borisov, DEF, 4.0, 7.0
Sigali, GNK Dinamo Zagreb, DEF, 4.0, 3.0
Yotún, Malmö FF, DEF, 4.0, 0
Polyakov, FC BATE Borisov, DEF, 4.0, 1.0
McNair, Manchester United FC, DEF, 4.0, 0
López, SL Benfica, DEF, 4.0, 2.0
Makarenko, FC Dynamo Kyiv, DEF, 4.0, 0
Nababkin, PFC CSKA Moskva, DEF, 4.0, 2.0
Çamdal, Galatasaray AŞ, DEF, 4.0, 0
Rose, Olympique Lyonnais, DEF, 4.0, 0
Ordets, FC Shakhtar Donetsk, DEF, 4.0, 3.0
Shpungin, Maccabi Tel-Aviv FC, DEF, 4.0, 0
Semedo, SL Benfica, DEF, 4.0, 3.0
Tibi, Maccabi Tel-Aviv FC, DEF, 4.0, 0
Bengtsson, Malmö FF, DEF, 4.0, 0
Harush, Maccabi Tel-Aviv FC, DEF, 4.0, 0
Mitrović, KAA Gent, DEF, 4.0, 2.0
Denayer, Galatasaray AŞ, DEF, 4.0, 0
Abdennour, Valencia CF, DEF, 4.0, 2.0
Siovas, Olympiacos FC, DEF, 4.0, 2.0
Ascues, VfL Wolfsburg, DEF, 4.0, 0
Kucher, FC Shakhtar Donetsk, DEF, 4.0, 0.0
Gaiduchik, FC BATE Borisov, DEF, 3.5, 2.0
Vasin, PFC CSKA Moskva, DEF, 3.5, 1.0
Ismaily, FC Shakhtar Donetsk, DEF, 3.5, 2.0
Vida, FC Dynamo Kyiv, DEF, 3.5, 3.0
Ziv, Maccabi Tel-Aviv FC, DEF, 3.5, 0
Vouros, Olympiacos FC, DEF, 3.5, 0
Isimat-Mirin, PSV Eindhoven, DEF, 3.5, 0
Carvalho, Malmö FF, DEF, 3.5, 0
Raly, Maccabi Tel-Aviv FC, DEF, 3.5, 0
Salino, Olympiacos FC, DEF, 3.5, 3.0
Konate, Malmö FF, DEF, 3.5, 0
Chernov, PFC CSKA Moskva, DEF, 3.5, 0
Măţel, GNK Dinamo Zagreb, DEF, 3.5, 3.0
Dasa, Maccabi Tel-Aviv FC, DEF, 3.5, 0
Costa, Olympiacos FC, DEF, 3.5, 3.0
Ozen, Malmö FF, DEF, 3.5, 0
Baiduk, FC BATE Borisov, DEF, 3.5, 0
Matviyenko, FC Shakhtar Donetsk, DEF, 3.5, 0
Brorsson, Malmö FF, DEF, 3.5, 0
Schildenfeld, GNK Dinamo Zagreb, DEF, 3.5, 0
Akhmetov, FC Astana, DEF, 3.0, 0
Masuaku, Olympiacos FC, DEF, 3.0, 3.0
García, Maccabi Tel-Aviv FC, DEF, 3.0, 0
Vitas, KAA Gent, DEF, 3.0, 0
Goldberg, Maccabi Tel-Aviv FC, DEF, 3.0, 0
Vindheim, Malmö FF, DEF, 3.0, 0
Pikalkin, FC Astana, DEF, 3.0, 0
Benković, GNK Dinamo Zagreb, DEF, 3.0, 0
